stop_id,stop_name,stop_lat,stop_lon
WR,West Harbour GO,43.266775,-79.866222
WH,Whitby GO,43.86484,-78.93818
WE,Weston GO,43.70022,-79.514671
UN,Union Station,43.645195,-79.3806
UI,Unionville GO,43.851689,-79.314332
ST,Stouffville GO,43.970924,-79.249989
SR,Streetsville GO,43.575584,-79.70882
SCTH,St. Catharines GO,43.1476135,-79.2549057
SC,Scarborough GO,43.716945,-79.254722
RU,Rutherford GO,43.838487,-79.498819
RO,Rouge Hill GO,43.780375,-79.130646
RI,Richmond Hill GO,43.874307,-79.426167
PO,Port Credit GO,43.555999,-79.586881
PIN,Pickering GO,43.831576,-79.084594
PA,Pearson Airport Terminal 1,43.6821671,-79.6132584
OS,Durham College Oshawa GO,43.871004,-78.884807
OR,Oriole GO,43.765518,-79.364275
OL,Old Cummer GO,43.793703,-79.371403
OA,Oakville GO,43.455594,-79.682242
NI,Niagara Falls GO,43.108882,-79.063319
NE,Newmarket GO,44.060426,-79.459289
MR,Markham GO,43.882691,-79.262469
MP,Maple GO,43.859481,-79.506984
MO,Mount Pleasant GO,43.6749763,-79.8221817
ML,Milton GO,43.52364,-79.867172
MK,Milliken GO,43.823227,-79.301785
MJ,Mount Joy GO,43.900521,-79.26313
MI,Mimico GO,43.616411,-79.497762
ME,Meadowvale GO,43.597566,-79.754328
MA,Malton GO,43.705153,-79.63823
LS,Lisgar GO,43.590791,-79.788539
LO,Long Branch GO,43.591317,-79.546149
LI,Old Elm GO,43.990395,-79.237098
LA,Langstaff GO,43.838546,-79.423139
KP,Kipling GO,43.636955,-79.536287
KI,Kitchener GO,43.455686,-80.49313
KE,Kennedy GO,43.733045,-79.262706
KC,King City GO,43.920037,-79.526886
HA,Hamilton GO Centre,43.253284,-79.869192
GU,Guildwood GO,43.755272,-79.198252
GO,Gormley GO,43.941617,-79.399033
GL,Guelph Central GO,43.544353,-80.246917
GE,Georgetown GO,43.655373,-79.919054
EX,Exhibition GO,43.635549,-79.418927
ET,Etobicoke North GO,43.706172,-79.563506
ER,Erindale GO,43.567235,-79.668506
EG,Eglinton GO,43.739621,-79.23231
EA,East Gwillimbury GO,44.077996,-79.455776
DW,Downsview Park GO,43.7536333,-79.47835
DI,Dixie GO,43.608022,-79.577762
DA,Danforth GO,43.686462,-79.300358
CO,Cooksville GO,43.582973,-79.623695
CL,Clarkson GO,43.513127,-79.633206
CE,Centennial GO,43.873601,-79.289211
BU,Burlington GO,43.341265,-79.809141
BR,Brampton Innovation District GO,43.6869087,-79.7628632
BO,Bronte GO,43.416774,-79.722294
BM,Bloomington GO,43.975949,-79.397258
BL,Bloor GO,43.656928,-79.450192
BE,Bramalea GO,43.7022591,-79.6887512
BD,Bradford GO,44.116513,-79.555394
BA,Barrie South GO,44.35112,-79.627441
AU,Aurora GO,44.000758,-79.459725
AP,Appleby GO,43.379429,-79.760991
AL,Aldershot GO,43.313385,-79.855659
AJ,Ajax GO,43.847766,-79.041372
AG,Agincourt GO,43.78611,-79.284385
AD,Allandale Waterfront GO,44.374139,-79.687858
AC,Acton GO,43.6338043,-80.034111
08048,St. Catharines Downtown Terminal,43.1607860239228,-79.2432895817443
08047,New Credit Variety & Gas Bar,42.9767059850247,-80.0373990879198
08046,50 Generations Dr. (Oneida Business Park),43.0272655947838,-79.9978677699124
08045,Old Elm GO Bus,43.9899019821539,-79.2374567924724
08044,Bramalea GO Bus,43.702269,-79.690011
08043,Cornell Bus Terminal,43.879761,-79.232535
08042,Bramalea GO Bus,43.702269,-79.690111
08041,Bramalea GO Bus,43.702269,-79.69011
08032,Bramalea Bus Terminal,43.7186356,-79.7205734
02866,4th Line @ Chiefswood Rd.,43.0682633088754,-80.1169291725398
02865,Chiefswood Rd. @ 4th Line,43.0678643358192,-80.1186740468311
02864,Durham Hwy. 2 @ Browview Rd.,43.9131217980881,-78.6218225259608
02863,Durham Hwy. 2 @ Bowmanville Ave.,43.9115795382994,-78.7008794862316
02862,Durham Hwy. 2 @ Bowmanville Ave.,43.91091788908,-78.7031217545171
02861,Bovaird Dr. W. @ Mississauga Rd.,43.6675885360206,-79.8288531489574
02860,Keele St. @ Barhill Rd.,43.8507335913209,-79.511543431514
02855,50 Generations Dr. (Oneida Business Park),43.0272655947838,-79.9978677699124
02854,Six Nations Sports & Cultural Memorial Centre,43.0699561963629,-80.1221912675896
02853,Sour Springs Rd. @ Chiefswood Rd.,43.0360932262248,-80.1403524632348
02852,Chiefswood Rd. @ Sour Springs Rd.,43.0362835050571,-80.138712213684
02851,Sour Springs Rd. @ Mohawk Rd.,43.0552607806868,-80.193617691558
02850,Sour Springs Rd. @ Mohawk Rd.,43.0554102667635,-80.1934904804657
02849,Woodlawn Rd. W. @ Regal Rd.,43.5487925525194,-80.2996385624222
02848,Woodlawn Rd. W. @ Regal Rd.,43.5487200063601,-80.2999959281198
02847,Thomas St. @ Highbank Rd.,43.571390698523,-79.7207524673365
02846,Toronto St. @ Elgin Park Dr.,44.0977670588629,-79.1280365027131
02845,Gordon St. @ Clair Rd. W.,43.5020608534142,-80.1915893520694
02843,Rathburn Rd. W. @ Mavis Rd.,43.5821728098426,-79.6559157889272
02839,Simcoe St. N. @ Richmond St. E.,43.8990287511044,-78.864162144326
02838,Sheppard Ave. E. @ Herons Hill Way,43.7754648931527,-79.3354883868647
02837,Sheppard Ave. E. @ Herons Hill Way,43.7757323805573,-79.335555520699
02836,Allandale Waterfront GO Bus,44.373363,-79.691343
02835,Allandale Waterfront GO Bus,44.373273,-79.691063
02834,Hwy. 48 @ 19th Ave.,43.945923,-79.278093
02831,Bradford GO Bus,44.115842,-79.556401
02830,Old Elm GO Bus,43.9899019629206,-79.2374555459893
02829,Yonge St. @ John St.,43.814391,-79.424193
02828,Barrie Transit Terminal,44.387438,-79.690317
02821,Yonge St. @ Poyntz Ave.,43.760053363685,-79.4107512589806
02820,Major Mackenzie West Bus Terminal (Canada's Wonderland),43.8472741648348,-79.5415471504326
02819,Victoria St. N. @ Frederick St.,43.4661769073305,-80.4573893890337
02818,Victoria St. N. @ Frederick St.,43.4663507673236,-80.4579750554575
02816,Scarborough Centre Bus Terminal,43.77486,-79.26088
02815,Cornell Bus Terminal,43.879742,-79.232527
02812,Steeles Ave. @ Trafalgar Rd. (Toronto Premium Outlets),43.5743597133588,-79.8346358454101
02811,Steeles Ave. @ Trafalgar Rd. (Toronto Premium Outlets),43.5738830213569,-79.8356593239271
02809,Guelph St. @ Mountainview Rd. S.,43.650131,-79.902022
02808,Main St. S. @ MacLennan St.,43.608965,-80.130286
02807,Guelph St. W. @ Lakeview Ave.,43.632898,-80.05002
02806,Tenth Ln. @ Main St.,43.975499,-79.231476
02804,Main St. N. @ Henry St.,43.65194,-79.92927
02803,Main St. N. @ George St.,43.651519,-79.928908
02802,Moutainview Rd. N. @ Maple Ave.,43.654996,-79.909971
02801,Maple Ave. @ Mountainview Rd. N.,43.655002,-79.911197
02800,University of Waterloo Terminal,43.474444,-80.540546
02799,University of Waterloo Terminal,43.474393,-80.539507
02787,Simcoe St. N. @ Windfields Farm Dr.,43.963642295078,-78.9029293914662
02786,Trafalgar Rd. @ Rosegate Way,43.482746,-79.713083
02785,Trafalgar Rd. @ Glenashton Dr.,43.480786,-79.709716
02784,Trafalgar Rd. @ Briarhall Gate,43.477566,-79.705312
02783,Trafalgar Rd. @ Upper Middle Rd. E.,43.475362,-79.702112
02782,Simcoe St. N. @ Windfields Farm Dr.,43.963039,-78.902909
02781,Simcoe St. N. @ Britannia Ave.,43.955632,-78.899736
02780,Brock University,43.118136,-79.249325
02779,Baldwin St. @ Hwy. 407 Park & Ride,43.9449147110778,-78.9599680461866
02778,Kipling Bus Terminal,43.635688,-79.538441
02776,Toronto Zoo,43.8196889741776,-79.1796790788481
02775,Port Credit GO,43.555598,-79.587457
02772,Yonge St. @ Sheppard Ave.,43.762187996328,-79.4109345055581
02771,Yonge St. @ Hwy. 407,43.8384664250903,-79.4293096916894
02768,Yonge St. @ Westwood Ln.,43.8445789374929,-79.4312068959128
02767,Bloomington GO,43.975523,-79.396884
02766,Trafalgar Rd. @ McCraney St. E.,43.466272,-79.690048
02765,Trafalgar Rd. @ Upper Middle Rd. E.,43.474533,-79.701471
02764,Trafalgar Rd. @ River Oaks Blvd. E.,43.47697,-79.70504
02763,Trafalgar Rd. @ Glenashton Dr.,43.48015,-79.709384
02759,King St. W. @ Queen St. N.,43.25943,-79.878547
02758,Hwy. 47 @ Paisley Ln.,44.0177983588276,-79.2319480136823
02757,Consumers Rd. @ William Sylvester Dr.,43.770562,-79.330273
02756,Consumers Rd. @ William Sylvester Dr.,43.770398,-79.33023
02752,Cooksville GO Bus,43.5822961767171,-79.6245055812486
02751,Cooksville GO Bus,43.582296,-79.624506
02750,Main St. S. @ Clarence St.,43.6803567961439,-79.7526657450494
02749,Simcoe St. S. @ Athol St. E.,43.896376,-78.862941
02748,Centre St. S. @ Athol St. W.,43.89617,-78.865335
02746,Main St. S. @ Nanwood Dr.,43.676796,-79.747726
02745,Main St. N. @ Williams Pkwy.,43.6983315029567,-79.7768451099263
02744,Yonge St. @ Little Ave.,44.36632,-79.662611
02743,Green Lane E. @ Yonge St.,44.073514,-79.481434
02742,Prospect St. @ Davis Dr.,44.05972,-79.453897
02741,Davis Dr. @ Prospect St.,44.060566,-79.454395
02739,Rathburn Rd. W. @ Perivale Rd.,43.575505,-79.664227
02738,Rathburn Rd. W. @ Perivale Rd.,43.575855,-79.664277
02737,Derry Rd. @ Sauve St.,43.524441,-79.842406
02736,Derry Rd. @ Sauve St.,43.523968,-79.842312
02732,Davis Dr. W. @ Eagle St. W.,44.053908,-79.485428
02731,Davis Dr. W. @ Eagle St. W.,44.053617,-79.485558
02730,Centennial Pkwy N. @ QEW (Confederation) Park & Ride,43.2425830614163,-79.7599571072281
02728,Bramalea GO Bus,43.702269,-79.690111
02726,Bayview Ave. @ River Ridge Blvd.,44.009295,-79.444537
02725,Bayview Ave. @ River Ridge Blvd.,44.009748,-79.445043
02722,Main St. @ Mill St. E.,43.6301210479395,-80.0419071434871
02721,Gordon St. @ Stone Rd.,43.5272921676036,-80.2256214441709
02720,Elizabeth St. @ Victoria Rd.,43.5552971023133,-80.2303018528565
02719,York St. @ 800 York St.,43.5584831140902,-80.2149901373342
02718,Gordon St. @ Kortright Rd.,43.5224020262207,-80.2134931638836
02717,Gordon St. @ Clairfields Dr. E.,43.5057636408486,-80.1943022849076
02716,Courtice Rd. @ Baseline Rd. Park & Ride,43.8860800890398,-78.7688846365461
02715,First Ave. @ Front St. Park & Ride,43.884898,-78.85374
02714,First Ave. @ Front St. Park & Ride,43.885019,-78.854257
02712,Bovaird Dr. W. @ McLaughlin Rd. N.,43.6957585266119,-79.7981796900374
02711,Major Mackenzie Dr. E. @ Hwy. 404,43.8827011632664,-79.3803716525566
02710,Major Mackenzie Dr. E. @ Hwy. 404,43.8827741694863,-79.3804406287544
02709,Yonge St. @ Finch Ave.,43.7808519429722,-79.416002462366
02708,Hwy. 50 @ Castlemore Rd.,43.8022027763583,-79.6689430530202
02706,Yonge St. @ Queen St.,44.0955808817404,-79.4901815817581
02702,Kingston Rd. @ Westney Rd.,43.857678667214,-79.0409885998896
02700,Trafalgar Rd. @ Dundas St.,43.4879119435482,-79.7199831176779
02699,Hwy. 10 @ Travelled Rd.,43.8573969935826,-79.9922485935605
02698,Victoria St. E. @ S. Blair St,43.8654558761237,-78.9209973861173
02697,Victoria St. E. @ S. Blair St.,43.8653472462941,-78.9209650743573
02696,Guelph St. @ Hall Rd.,43.6486902942995,-79.8765444720472
02694,Bayview Ave. @ St. John's Sideroad,44.023461599752,-79.4476920600681
02693,Bayview Ave. @ St. John's Sideroad,44.0237239494145,-79.4481818236578
02692,Bayview Ave. @ Mulock Dr.,44.0410444955981,-79.4517586529434
02691,Bayview Ave. @ Mulock Dr.,44.0414415652058,-79.4521589476021
02690,Prospect St. @ Pearson St.,44.0493428055643,-79.4528843805226
02689,Prospect St. @ Pearson St.,44.0496186238697,-79.453040727793
02688,Burton Ave. @ Granville St.,44.3716585556774,-79.6905053283273
02687,Burton Ave. @ Granville St.,44.3716444485243,-79.6911595701255
02684,Simcoe St. @ Britannia Ave.,43.9558385161942,-78.8994952290358
02683,Green Lane E. @ Yonge St.,44.073913,-79.481138
02682,Queen St. @ Mill St.,43.8809995812407,-79.7400896488493
02681,Queen St. @ Hickman St.,43.881289458911,-79.7407395455473
02680,Bramalea Rd. @ Balmoral Dr.,43.7154679735916,-79.7054676815027
02677,Gordon St. @ Clair Rd. E.,43.5002316951943,-80.1886650066085
02676,Dundas St. @ Halls Rd.,43.8710634547294,-78.9813988024596
02675,Dundas St. @ Halls Rd.,43.8713052332062,-78.981120567689
02674,Hwy 407 Bus Terminal,43.7830713234851,-79.5244458372792
02673,Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288
02672,Dundas St. @ Hwy. 412 Park & Ride,43.8769486590634,-78.9812249498338
02668,Union Station (UP Express),43.6447330087495,-79.3823285604034
02661,Renforth Transitway Station,43.662995090205,-79.5911181123626
02660,Renforth Transitway Station,43.6630754344014,-79.591281189024
02659,Dixie Transitway Station,43.6300128947218,-79.6146254772841
02658,Dixie Transitway Station,43.6300478663032,-79.6146878930147
02655,Hurontario St. @ Fairview Rd.,43.5875907610701,-79.6265046670912
02654,Hurontario St. @ Elm Dr.,43.5908331882659,-79.6310144279685
02653,Hwy. 10 @ Buena Vista Dr.,43.9218485290721,-80.0830587693037
02652,West Harbour GO,43.2660685497468,-79.8659978056508
02651,Military Trail. @ Pan Am Dr.,43.7877954094493,-79.1904190458541
02650,Military Trail. @ Pan Am Dr.,43.7878560204119,-79.1908919809448
02647,Trafalgar Rd. @ Dundas St. E.,43.4877993708847,-79.7192931589981
02646,Niagara College,43.1524845920884,-79.166533938966
02645,Main St. @ Baker Hill Blvd.,43.9653991754335,-79.2742792341716
02644,Main St. @ Ringwood Dr.,43.9650310025184,-79.2749393391483
02637,Davis Dr. @ Superior St. (Newmarket GO),44.0594444,-79.4590073
02636,Winston Churchill Transitway Station,43.5417557,-79.7129898
02635,Winston Churchill Transitway Station,43.5419006,-79.7131805
02634,Davis Dr. @ Superior St. (Newmarket GO),44.0596123,-79.4592438
02633,Mountainview Rd. N. @ Maple Ave.,43.6563339,-79.9114151
02629,Gormley GO,43.9409103,-79.3985214
02628,Kingston Rd. @ Brock Rd.,43.8478546,-79.0743408
02627,Brock Rd. S. @ Gilmour Rd.,43.466629,-80.1415634
02626,Brock Rd. S. @ Gilmour Rd.,43.4668732,-80.1422806
02621,Ontario St. @ QEW (Beamsville) Park & Ride,43.1881676,-79.4759598
02620,McMaster Innovation Park,43.2564278,-79.9013138
02619,McMaster Innovation Park,43.2570114,-79.9015045
02617,Brantford Bus Terminal,43.1403084,-80.2649918
02616,Colborne St. E. @ Park Ave.,43.1390533,-80.2543106
02615,Dalhousie St. @ Park Ave.,43.1400795,-80.2549591
02614,Colborne St E. @ Kiwanis Way,43.1404762,-80.2400513
02613,Colborne St. E. @ Puleston St.,43.1405792,-80.2406311
02612,Wayne Gretzky Pkwy. @ Chatham St.,43.144886,-80.2353592
02611,Wayne Gretzky Pkwy. @ Chatham St.,43.1449928,-80.2356873
02610,Wayne Gretzky Pkwy. @ Elgin St.,43.1499977,-80.2378159
02609,Wayne Gretzky Pkwy. @ Elgin St.,43.1501236,-80.2375336
02608,Wayne Gretzky Pkwy. @ Henry St.,43.1544113,-80.2391205
02607,Wayne Gretzky Pwky. @ Henry St.,43.1545525,-80.2395554
02605,Hespeler Rd. @ Pinebush Rd.,43.4089508,-80.3281174
02598,Millcreek Dr. @ Aquitaine Ave.,43.5951157,-79.7525024
02597,6715 Millcreek Dr. @ Aquitaine Ave. (Millcreek Business Centre),43.5951004,-79.7512894
02596,Yonge St. @ Davis Dr. (Upper Canada Mall),44.0550804,-79.4807053
02595,Yonge St. @ Line 11,44.1623192,-79.5767288
02594,Yonge St. @ Line 11,44.16325,-79.5767746
02593,Yonge St. @ Line 13,44.1866646,-79.5825729
02592,Yonge St. @ Line 13,44.1873474,-79.5825195
02587,Dupont Meadow Pl. @ Mississauga Rd.,43.6081848,-79.7510834
02586,Financial Dr. @ Syntex Crt.,43.611037345833,-79.7488204602084
02580,Major Mackenzie Dr. E. @ Cedar Ave.,43.8734169,-79.4278793
02579,Major Mackenzie Dr. E. @ Cedar Ave.,43.8731232,-79.4284439
02577,Yonge St. @ 4th Line (Churchill Community Centre),44.2538338,-79.6016998
02576,Kingston Rd. @ Fairport Rd.,43.8238487,-79.1063309
02575,Markham Rd. @ Castlemore Ave.,43.9040985,-79.2667618
02574,Markham Rd. @ Castlemore Ave.,43.9044647,-79.2672577
02573,Victoria St. @ Thickson Rd. (Thickson Ridge Power Centre),43.8673973,-78.8993225
02572,Victoria St. @ Thickson Rd. (Thickson Ridge Power Centre),43.86726,-78.9002914
02571,Kingston Rd. @ Glenanna Rd.,43.8386154,-79.0863266
02567,Hurontario St. @ Old School Rd.,43.753563,-79.851234
02546,Hurontario St. @ Old School Rd.,43.753716,-79.851891
02545,Markham Rd. @ Edward Jeffreys Ave.,43.895947,-79.264854
02544,Markham Rd. @ Edward Jeffreys Ave.,43.896362,-79.265251
02543,Simcoe St. N. @ Parkwood Crt.,43.905807,-78.867111
02542,Simcoe St. N. @ Parkwood Crt.,43.905533,-78.867271
02541,Morningside Ave. @ Tams Rd.,43.791924,-79.195305
02540,Morningside Ave. @ Tams Rd.,43.792179,-79.19574
02539,Brock Rd. @ Hwy. 407 Park & Ride,43.912596,-79.097042
02538,Davis Dr. @ Hwy. 404 Park & Ride,44.0676956,-79.4215164
02537,Barrie St. @ Doctors Lane,44.115643,-79.565002
02535,Hwy. 50 @ Ebenezer Rd.,43.777973,-79.654884
02534,Hwy. 50 @ Ebenezer Rd.,43.779167,-79.655106
02533,Hwy. 50 @ Queen St. E.,43.768192,-79.648849
02532,King St. W. @ Scugog St.,43.9128571,-78.6923294
02531,Weber St. E. @ Queen St. N.,43.451828,-80.4870758
02530,Weber St. W. @ Queen St. N.,43.4519386,-80.4876175
02523,Queensville Sdrd. @ Hwy. 404 Park & Ride,44.1420212,-79.4405518
02522,Woodbine Ave. @ Hwy. 404 Park & Ride,44.1918488,-79.4372101
02521,Wellington St. E. @ Mary St.,44.0031967,-79.451149
02520,Wellington St. E. @ John West Way,44.0035057,-79.4506836
02519,Guelph Central GO Bus,43.544932,-80.246388
02518,MacDonell St. @ Carden St. (Guelph Central GO),43.5463142,-80.2452316
02513,Blind Line @ College Ave.,43.9221954,-80.1162033
02512,Blind Line @ Hansen Blvd.,43.9247589,-80.1168442
02508,Derry Rd. W. @ Ninth Line,43.574543,-79.78685
02505,Hwy. 35 @ Hwy. 115 Park & Ride,44.064003,-78.6258087
02504,Peterborough Rd. 10 @ Hwy. 115 Park & Ride,44.1872025,-78.4643936
02503,Crawford Dr. @ Harper Rd. Park & Ride,44.2678642,-78.3492737
02502,Peterborough Bus Terminal,44.3045998,-78.3224182
02501,Trent University,44.3569412,-78.2870331
02413,Georgetown GO Bus,43.6560287,-79.9186783
02412,Main St. S. @ Ridge Rd.,43.61085,-80.13266
02408,Niagara Falls Bus Terminal,43.1085358,-79.0636063
02406,Casablanca Blvd. @ QEW Park & Ride,43.2047997,-79.5964279
02405,Stanley Ave. @ Hwy. 420 Park & Ride,43.097245,-79.08507
02404,Stanley Ave. @ Hwy. 420 Park & Ride,43.097075,-79.084885
02402,St. Catharines Fairview Mall,43.178627,-79.2452545
02300,Union Station Bus Terminal,43.644042,-79.376939
02215,Erin Mills Transitway Station,43.552124,-79.7004547
02214,Erin Mills Transitway Station,43.5520363,-79.7003021
02209,Renforth Dr. @ Convair Dr.,43.6723671,-79.5936432
